text,label
"PHILADELPHIA 76ERS Fired Jim O'Brien , coach . Named Maurice Cheeks coach .",1
The office staff threw the documents into the shredder before the police came in .,0
"A survey made for the statistical society of the various Sunday schools in Manchester and Salford in 1836 returned the number of Catholic schools as ten , with an attendance of 4295 scholars .",0
It announced that they would not permit offensive weapons to be delivered to Cuba and demanded that the weapons already in Cuba be dismantled and returned to the USSR .,1
"Muscles , tendons , and ligaments surround the ankle providing the stability the ankle joint needs for walking and running .",0
"Inside , the poster was enclosed in tight plastic packaging .",0
"Balloons commonly had a crew of two , equipped with parachutes , so that if there was an enemy air attack the crew could parachute to safety .",1
""" We consider that his bid is an acceptable bid, "" said Sandra Kolber, spokeswoman for the independent directors ' committee appointed last May to solicit and review bids for the company in the wake of a dispute between Mr. Drabinsky and Cineplex's major shareholder, MCA Inc.",1
"The ability to voice opinions and concerns has also long been identified as a key element of feelings of fairness and justice in the workplace, in a process that has been termed the ""voice effect"" (Folger, 1977).",0
"It gets a little bit ""chicken first or egg first"" on examination but the primary truth is that the attacks are caused by the fear of the attacks themselve .",1
"In other words, a dictator is more likely to make a fair offer if he/she expects the audience to observe their choice.",1
"For this school, once they are in, all they have to do is come every day, come on time every day and work hard.",1
Avci was the head of the chief of the police in Diyarbakir between 1984 and 1992 .,0
It ' s killed a serpent that was in the cradle .,0
"Yoga is fantastic for increased flexibility , which is great for cross-training with all the other programs we offer .",1
It ' s a best mobile terminal for a programmer or geek .,0
"Jim Pattison Industries Ltd., one of a group of closely held companies owned by entrepreneur James Pattison, said it "" intends to seek control "" of 30 % - owned Innopac Inc., a Toronto packaging concern. Jim Pattison Industries, a holding company with annual sales of about C $ 1.9 billion, largely from car dealerships and grocery stores, didn't elaborate on the statement, and a company official declined further comment.",0
A similar image search feature has been added to the software .,0
"Since we see an array of spectral colors , it led him to the conclusion that color is a perceptual experience that depends on the wavelength of the light .",0
Air pollution from coal-fired power plants is large and varied and contributes to a significant number of negative environmental and health problems .,1
"In scenarios B and P, almost all groups succeeded (10 of 12), and there is no significant treatment effect (H vs. L).",0
"The shooting happened moments after the employee , Yvonne Hiller , was suspended from her job at Kraft , where she ’ d worked for 15 years , the Daily News reports . About 100 people were in the building when she began shooting .",1
"It is just another asset bubble , where the grotesque bonuses made by the speculators who have brought the world economy to its knees .",0
